time,roll,pitch,yaw,origin_x,origin_y,origin_z
2.07,-176.98109409426488,1.6017220553628324,-2.8559051490202143,-158.9545835,328.6584172,36.92659305
2.08,-177.13653539659586,1.6293716592925647,-2.8876231298623023,-158.9334467,328.6853567,36.85027141
2.09,-177.14714824256674,1.6333849455177039,-2.891831360509683,-158.9357199,328.6984836,36.85402458
2.1,-177.20703808592097,1.6510315355514917,-2.8888938685173318,-158.9465232,328.6667844,36.92600658
2.11,-177.20905041364568,1.6171447107947015,-2.8661328724897346,-158.9207346,328.6737179,36.87355927
2.12,-177.17112459160455,1.621914799809794,-2.888698202315034,-158.9045084,328.7039811,36.91846255
2.13,-177.26095749441464,1.6174645097704992,-2.8737209878008034,-158.9398895,328.6157729,36.81264098
2.14,-177.2178309199311,1.5592637704684533,-2.8529827545473077,-158.926628,328.6240529,36.80014687
2.15,-177.2458387944097,1.5764386297456565,-2.87427063042138,-158.9081533,328.7574614,36.93213279
2.16,-177.10828145891233,1.6079102943703794,-2.8783464133847922,-158.9288864,328.6927477,36.85515481
2.17,-177.1044642115701,1.6084706433958005,-2.8774566205314573,-158.9188504,328.6901103,36.85638605
2.18,-177.16508834038183,1.6446111942795396,-2.898097111372592,-158.8887355,328.7196572,36.89521646
2.19,-177.20666143253231,1.5936586043017928,-2.8631711320620106,-158.9491478,328.6435502,36.80733899
2.2,-177.21847800865336,1.6168115596198602,-2.874440646883911,-158.984347,328.7048509,36.87428423
2.21,-177.25526160281868,1.6193248192703213,-2.854373552956243,-158.9186881,328.6351668,36.87579024
2.22,-177.26026281564725,1.610922947015077,-2.875279905186686,-158.8667206,328.6799601,36.86324484
2.23,-177.2627292076731,1.664856981832001,-2.9011054458090744,-158.9447303,328.6923288,36.87346681
2.24,-177.1601784560876,1.637095445940207,-2.8914357334465333,-158.9466518,328.6986751,36.86188929
2.25,-177.12514397354832,1.5862487506384628,-2.8682079400804494,-158.9550781,328.6604403,36.7827521
2.26,-177.1672232895312,1.5724499735871251,-2.865374720064816,-158.9025795,328.6883684,36.82644219
2.27,-177.23704938916086,1.6559633377269654,-2.904591392242115,-158.9848472,328.7064611,36.84457206
2.28,-177.15513087063482,1.5807117594218483,-2.8588037443256513,-158.9056448,328.6878255,36.84236774
2.29,-177.1940814405111,1.6020585807847072,-2.8701761059638513,-158.9517586,328.6448079,36.8629305
2.3,-177.23594093380078,1.6029134116865476,-2.866492361246197,-158.9088368,328.6363374,36.74325139
2.31,-177.10016820644634,1.5720846222801175,-2.8421300936817575,-158.9274857,328.6322487,36.81411431
2.32,-177.14317766421965,1.5672548603316316,-2.855316893880212,-158.955196,328.6784183,36.79851327
2.33,-177.19711099335535,1.582837972080104,-2.8743779376124414,-158.9508471,328.6575372,36.78848913
2.34,-177.19701836423715,1.5809857917155161,-2.8759476440238627,-158.904127,328.7008019,36.87244034
2.35,-177.2801314098717,1.6322483409203095,-2.8817507218797567,-158.9141724,328.6646776,36.85483108
2.36,-177.1493481463936,1.6064625328396365,-2.877673128312961,-158.9265842,328.690366,36.85021677
2.37,-177.20011028415632,1.6164682314927297,-2.884002832556645,-158.9413647,328.6898903,36.90122409
2.38,-177.15882156776433,1.5927384625444967,-2.862051642146037,-158.9567233,328.6179042,36.83160372
2.39,-177.09678385581313,1.6132390408210462,-2.8678575403245583,-158.9387502,328.6573967,36.87354101
2.4,-177.1598676981837,1.6403188392918915,-2.873390352309435,-158.9202728,328.6371215,36.87167248
2.41,-177.25953560835944,1.591938472427211,-2.8411000338105037,-158.9158298,328.5888222,36.78869404
2.42,-177.07660315799407,1.6274705282080828,-2.8693196921351554,-158.9490215,328.6637246,36.92133664
2.43,-177.11399113291696,1.6833014651766736,-2.91171997601892,-158.9205296,328.7270126,36.93477267
2.44,-177.16464035583493,1.6253065485428912,-2.9004118844554765,-158.9412698,328.7067964,36.84904121
2.45,-177.09121721422576,1.5614868126032102,-2.868733168983536,-158.9130867,328.6769942,36.80706404
2.46,-177.2637576039667,1.640093881638017,-2.884454283996372,-158.9420871,328.7360806,36.95161525
2.47,-177.21347124835518,1.6416071333253228,-2.8871038940086846,-158.9276882,328.6215972,36.81169814
2.48,-177.22813488407022,1.5765935954642007,-2.8726689191489116,-158.9392485,328.6913273,36.85870803
2.49,-177.26242508184532,1.6077449552176482,-2.8705312373268703,-158.9229868,328.6435678,36.87132205
2.5,-177.09746478481043,1.584467129053807,-2.8640868547275806,-158.9097661,328.6594127,36.87462823
2.51,-177.18212637182023,1.62987862161126,-2.865885305238394,-158.932767,328.6527011,36.93871611
2.52,-177.17242540294816,1.6442304832420516,-2.890662418746346,-158.930345,328.6963676,36.89525734
2.53,-177.23291870882736,1.6093019876262022,-2.8707782697363147,-158.9163121,328.6669937,36.85929872
2.54,-177.24480338469903,1.575055407586296,-2.8686722841098597,-158.9387258,328.6625483,36.75444485
2.55,-177.2012807540791,1.6146519480297596,-2.8561865864493527,-158.8966849,328.6174242,36.87645215
2.56,-177.20959085685774,1.5471841493255765,-2.852639459007008,-158.9653131,328.6863372,36.82529177
2.57,-177.26347524843635,1.618087572108742,-2.8771504616172465,-158.93263,328.6730802,36.78028752
2.58,-177.25015512131276,1.585840763976865,-2.845141710265394,-158.9075639,328.6026263,36.76771188
2.59,-177.06018899021825,1.633824606245717,-2.889518685168268,-158.8790199,328.6899647,36.85877136
2.6,-177.20560417262467,1.6053023190043274,-2.8715245426163665,-158.9214385,328.6699347,36.84591885
2.61,-177.1682740881016,1.6172213417685575,-2.8883075390016026,-158.9531598,328.7053062,36.90397023
2.62,-177.22199092384184,1.5950639627072818,-2.861874239330851,-158.9432406,328.6154463,36.82918986
2.63,-177.31427895433464,1.6275410058263646,-2.8718055611727284,-158.8897605,328.6297088,36.82804547
2.64,-177.14403214309746,1.612624335054405,-2.869186406383605,-158.9129965,328.6621719,36.87007413
2.65,-177.17952689777556,1.618396531487616,-2.861020282170741,-158.9138084,328.6343563,36.88963418
2.66,-177.18665461403484,1.6046890333068222,-2.8770017744658403,-158.9104582,328.6635646,36.86573542
